Şehirler,Yangın Sayısı Adet               (Number),Yanan Hektar Hectare,PM10 Values
Adana,128,84.15,44.8
Adıyaman,19,49.2,71.0
Afyonkarahisar,6,2.7,81.0
Ağrı,_,_,47.0
Aksaray,_,_,61.0
Amasya,11,21.85,29.0
Ankara,29,10.33,63.4
Antalya,189,196.44,53.0
Ardahan,_,_,33.0
Artvin,5,4.7,21.0
Aydın,38,20.16,65.0
Balıkesir,51,30.36,50.0
Bartın,11,31.47,56.0
Batman,7,59,90.0
Bayburt,4,5.9,53.0
Bilecik,4,1.97,54.5
Bingöl,39,23,30.0
Bitlis,8,3,53.0
Bolu,15,26.74,78.0
Burdur,37,5.79,46.0
Bursa,37,259.95,85.3
Çanakkale,17,8.4,48.0
Çankırı,7,3.46,34.0
Çorum,5,5.93,45.0
Denizli,35,23.68,72.0
Diyarbakır,15,66.2,62.0
Düzce,9,24.67,107.0
Edirne,10,2.91,70.0
Elazığ,13,19,32.0
Erzincan,5,45.2,53.0
Erzurum,5,29.87,30.0
Eskişehir,6,2.65,31.0
Gaziantep,16,18.53,58.0
Giresun,10,22.47,49.0
Gümüşhane,4,56.07,63.0
Hakkari,1,1,85.0
Hatay,84,123.07,61.5
Iğdır,_,_,106.0
Isparta,37,48.53,75.0
İstanbul,121,24.95,54.8
İzmir,178,73.1,41.0
Kahramanmaraş,63,41.08,68.5
Karabük,19,48.97,47.0
Karaman,8,4.1,79.0
Kars,7,7.7,47.0
Kastamonu,46,25.44,34.0
Kayseri,14,18.67,75.0
Kilis,7,1.55,29.0
Kırıkkale,6,1.61,27.0
Kırklareli,14,10.17,37.3
Kırşehir,1,0.1,35.0
Kocaeli,22,22.24,55.8
Konya,21,60.24,55.5
Kütahya,33,5.63,66.0
Malatya,12,20,43.0
Manisa,88,80.06,86.0
Mardin,24,247.58,58.0
Mersin,80,281.75,52.0
Muğla,212,162.08,81.0
Muş,_,_,99.0
Nevşehir,_,_,47.0
Niğde,2,4,68.0
Ordu,27,48.75,48.0
Osmaniye,48,317.61,68.0
Rize,3,12.93,30.0
Sakarya,24,12.24,64.5
Samsun,23,73.85,56.0
Şanlıurfa,5,31.5,49.0
Siirt,5,50.38,113.0
Sinop,11,4.13,36.0
Şırnak,14,32,31.0
Sivas,8,5.01,30.0
Tekirdağ,8,3.32,56.3
Tokat,21,17.73,49.0
Trabzon,11,66.07,57.5
Tunceli,8,3,18.0
Uşak,9,10.83,55.0
Van,3,2,49.0
Yalova,2,1.54,33.0
Yozgat,8,16.3,42.0
Zonguldak,17,30.34,64.5
,,,
,,,
,,,
Şırnak,14,32,
Siirt,5,50.38,
